62,62
63,63
66,66
76,76
88,88
93,93
84,91
85,92
91,81
91,82
87,90
85,90
80,89
86,87
80,87
83,82
78,84
78,91
75,93
37,93
22,93
11,93
5,91
18,92
19,91
66,91
73,88
71,86
73,86
73,85
77,87
74,84
65,83
67,82
74,83
77,85
64,80
73,79
64,78
72,77
70,75
62,76
62,89
52,90
38,90
37,90
6,88
8,88
9,88
17,88
25,89
32,88
45,88
46,89
53,88
55,87
18,87
16,87
0,87
0,85
23,86
29,85
31,86
60,86
53,84
47,84
45,84
39,84
28,84
24,84
17,84
0,84
3,83
5,83
9,83
14,82
25,83
28,83
33,81
1,79
3,79
12,80
15,80
16,79
37,80
46,80
56,70
60,74
73,76
75,77
59,68
55,63
64,70
75,76
74,73
54,61
63,68
67,66
62,66
52,58
18,78
4,76
12,76
17,76
21,77
35,77
39,76
42,76
44,76
36,75
24,75
0,74
0,73
9,70
15,71
15,70
10,69
2,67
4,66
2,66
0,62
2,62
4,58
6,58
6,56
6,55
19,63
35,72
40,74
46,72
43,72
31,68
4,53
18,59
36,68
4,51
5,50
20,57
18,55
2,47
23,54
27,57
47,66
20,51
22,51
39,62
42,60
10,47
34,59
35,59
8,43
17,44
36,56
39,52
39,51
38,51
36,51
16,40
30,49
24,44
38,49
40,47
36,47
23,41
39,45
62,65
34,38
1,28
2,28
22,34
26,34
34,37
36,39
60,61
62,61
5,30
20,32
23,31
33,34
61,59
76,74
6,28
7,28
11,29
13,29
39,38
80,76
81,76
69,64
13,27
9,25
45,41
69,63
72,66
87,81
88,81
67,60
63,56
27,24
16,24
5,23
6,21
68,60
79,71
92,77
91,70
70,61
69,60
27,21
7,20
1,19
3,19
4,18
12,19
15,19
36,29
53,43
73,63
74,64
87,77
86,75
30,22
30,21
78,66
80,68
83,71
62,49
46,34
83,68
67,52
66,50
84,68
58,41
56,38
59,39
68,48
93,70
75,53
84,60
55,30
8,9
5,6
1,2
0,3
0,7
2,9
1,3
1,1
2,1
3,3
3,9
5,9
4,8
7,11
10,10
10,12
11,16
10,16
5,16
4,16
3,17
12,17
12,13
13,12
16,15
18,17
17,15
20,17
18,14
18,13
20,15
19,13
21,10
4,0
7,3
7,2
8,1
10,9
12,8
15,10
13,8
14,7
16,10
13,4
15,6
17,5
16,4
16,3
20,6
16,2
21,7
28,14
20,4
38,23
40,24
26,3
41,17
68,24
77,21
82,18
82,25
82,26
81,33
81,19
79,18
78,18
77,17
76,17
75,11
74,19
73,18
73,14
73,15
69,16
68,16
65,19
58,18
55,16
55,15
53,15
53,12
51,17
52,11
78,27
78,39
93,55
93,57
93,59
93,65
92,40
92,28
91,51
91,53
91,56
90,42
92,11
90,20
90,12
89,12
84,8
70,9
69,8
64,6
63,6
64,5
63,2
63,4
61,4
61,1
61,2
61,3
60,2
60,4
60,5
59,6
60,1
55,9
53,8
52,7
51,4
55,21
67,21
77,38
87,43
79,52
79,46
76,32
76,28
73,41
74,31
74,24
73,23
73,24
73,30
71,39
72,29
72,24
70,25
69,28
69,30
68,30
67,27
65,36
59,23
55,27
54,23
49,22
51,27
49,5
49,2
46,17
47,3
48,0
36,7
44,2
40,2
30,1
