196,43,72
152,20,51
157,23,54
179,36,68
245,65,19
192,40,47
176,36,47
131,10,47
120,5,50
117,4,58
125,6,58
279,78,18
178,36,56
150,19,63
119,4,76
286,82,18
189,39,62
126,6,88
127,8,88
130,9,88
141,16,87
180,36,75
199,45,88
203,46,89
132,10,69
118,4,66
159,24,75
190,39,76
202,46,80
175,35,77
348,93,93
388,55,87
142,17,76
112,2,67
82,17,44
137,15,70
138,15,71
139,15,80
380,47,66
195,42,76
276,77,17
187,39,51
128,9,70
124,6,56
116,4,53
261,73,14
262,73,15
168,31,68
171,33,81
191,39,84
282,79,18
143,17,84
122,5,91
121,5,83
113,3,79
104,0,74
140,16,79
160,24,84
177,36,51
381,47,84
198,45,84
165,28,84
148,18,78
272,75,11
183,37,93
182,37,90
181,37,80
385,53,88
384,53,84
188,39,52
185,38,51
151,19,91
147,18,92
193,40,74
134,12,76
135,12,80
136,14,82
194,42,60
154,21,77
129,9,83
164,28,83
92,39,45
115,4,51
156,22,93
144,17,88
173,35,59
243,64,5
174,35,72
161,25,89
162,25,83
145,18,55
153,20,57
166,29,85
169,31,86
186,38,90
102,0,62
273,76,17
301,90,20
