280,78,39
401,78,66
328,80,87
329,80,89
327,80,76
374,80,68
278,77,38
250,68,24
251,68,30
266,73,41
265,73,30
260,72,24
264,73,24
271,74,24
285,81,33
259,72,29
246,65,36
230,59,39
317,75,76
393,63,68
306,70,75
323,77,87
322,77,85
370,69,63
372,70,61
400,75,53
283,79,46
402,79,52
346,92,77
379,93,65
351,60,74
360,64,70
302,90,42
399,73,63
275,76,32
316,74,84
336,86,75
321,76,76
318,75,77
320,76,74
376,84,60
369,69,60
368,68,60
366,67,60
386,54,61
218,53,43
392,63,56
353,61,59
350,60,61
247,67,21
248,67,27
258,71,39
326,79,71
274,76,28
277,77,21
269,74,19
281,78,27
347,93,70
343,91,70
309,73,76
389,56,70
310,73,79
334,85,90
356,62,66
391,62,65
355,62,62
354,62,61
292,87,43
305,92,40
390,62,49
324,78,84
333,84,91
313,73,88
312,73,86
311,73,85
314,74,73
332,83,82
342,88,88
344,91,81
341,88,81
339,87,81
358,62,89
357,62,76
338,87,77
255,69,30
367,67,82
396,67,66
395,67,52
405,91,56
406,93,55
359,63,63
371,69,64
398,72,66
364,66,66
375,83,68
315,74,83
270,74,31
257,70,25
335,85,92
345,91,82
340,87,90
377,84,68
254,69,28
304,92,28
361,64,78
404,91,53
378,93,59
362,64,80
337,86,87
288,82,26
287,82,25
373,74,64
349,59,68
267,73,23
382,52,58
307,71,86
228,58,41
319,75,93
284,81,19
331,83,71
308,72,77
363,65,83
397,68,48
330,81,76
394,66,50
226,56,38
365,66,91
325,78,91
352,60,86
387,55,63
