58,21,10
42,16,2
35,13,4
13,4,8
7,2,9
71,23,31
98,40,24
215,53,12
212,52,11
229,59,23
219,54,23
72,27,24
69,16,24
64,7,28
63,6,28
60,2,28
59,1,28
207,49,5
211,51,4
94,36,7
37,13,12
28,10,12
41,15,19
223,55,21
221,55,15
200,46,34
224,55,27
96,38,23
101,46,17
227,58,18
222,55,16
216,53,15
213,52,7
235,60,5
50,18,14
48,17,15
55,20,15
237,61,2
88,34,37
86,26,34
33,12,17
22,7,11
16,5,6
12,4,0
3,1,2
0,0,3
74,26,3
43,16,3
21,7,3
34,12,19
81,16,40
78,30,21
38,14,7
8,3,3
1,0,7
20,7,2
24,8,1
77,30,1
100,44,2
234,60,4
225,55,30
70,20,32
79,30,22
239,61,4
30,11,16
29,10,16
15,4,18
11,3,19
5,1,19
10,3,17
14,4,16
18,5,16
32,12,13
27,10,10
26,10,9
91,39,38
208,49,22
242,63,6
231,59,6
89,34,38
90,36,39
52,19,13
45,16,10
40,15,10
51,18,17
57,21,7
47,17,5
244,64,6
36,13,8
31,12,8
25,8,9
233,60,2
9,3,9
17,5,9
23,7,20
19,6,21
61,5,23
206,49,2
205,48,0
54,20,6
65,9,25
39,15,6
44,16,4
62,5,30
97,40,2
238,61,3
56,20,17
99,41,17
209,51,17
232,60,1
236,61,1
214,53,8
76,28,14
83,22,34
241,63,4
204,47,3
