linha,coluna
27,75
28,68
28,69
28,70
28,71
28,72
28,73
28,74
28,75
29,67
29,68
29,69
29,70
29,71
29,72
29,73
29,74
29,75
29,76
30,66
30,67
30,68
30,69
30,70
30,71
30,72
30,73
30,74
30,75
30,76
30,78
31,64
31,65
31,66
31,67
31,68
31,69
31,70
31,71
31,72
31,73
31,74
31,75
31,76
31,77
31,79
31,80
31,82
32,63
32,64
32,65
32,66
32,67
32,68
32,69
32,70
32,71
32,72
32,73
32,74
32,75
32,76
32,77
32,79
32,80
32,81
32,82
32,83
33,62
33,63
33,64
33,65
33,66
33,67
33,68
33,69
33,71
33,72
33,73
33,74
33,75
33,76
33,77
33,78
33,80
33,81
33,82
33,83
33,84
34,61
34,62
34,63
34,64
34,65
34,66
34,67
34,69
34,70
34,72
34,73
34,74
34,75
34,76
34,77
34,79
34,80
34,81
34,82
34,83
34,84
34,85
35,60
35,61
35,62
35,63
35,64
35,65
35,66
35,68
35,69
35,70
35,72
35,73
35,74
35,75
35,76
35,77
35,78
35,81
35,82
35,83
35,84
35,85
35,86
35,89
36,58
36,59
36,60
36,61
36,62
36,63
36,64
36,65
36,66
36,69
36,70
36,72
36,73
36,74
36,75
36,76
36,77
36,78
36,79
36,81
36,82
36,83
36,84
36,85
36,86
36,87
36,88
36,89
36,90
36,93
37,57
37,58
37,59
37,60
37,61
37,62
37,63
37,64
37,65
37,66
37,68
37,69
37,70
37,71
37,72
37,73
37,74
37,75
37,76
37,77
37,78
37,79
37,80
37,81
37,82
37,83
37,84
37,85
37,86
37,87
37,88
37,89
37,90
37,92
37,93
38,56
38,57
38,58
38,59
38,60
38,61
38,62
38,63
38,64
38,65
38,66
38,68
38,69
38,70
38,71
38,74
38,75
38,76
38,77
38,78
38,79
38,82
38,83
38,84
38,85
38,86
38,87
38,88
38,89
38,90
38,91
38,92
38,93
39,55
39,56
39,57
39,58
39,59
39,60
39,61
39,62
39,63
39,65
39,66
39,67
39,69
39,70
39,71
39,72
39,73
39,74
39,75
39,76
39,77
39,78
39,82
39,83
39,84
39,85
39,86
39,87
39,88
39,89
39,90
39,91
39,92
39,93
40,54
40,55
40,56
40,57
40,58
40,59
40,60
40,61
40,62
40,63
40,64
40,65
40,66
40,68
40,69
40,70
40,71
40,72
40,73
40,74
40,75
40,76
40,77
40,81
40,83
40,85
40,86
40,87
40,88
40,89
40,90
40,91
40,92
40,93
41,52
